дата,регион,менеджер,товар,сумма
2025-01,Юг,Петров,Глицерин технический,53669
2025-01,Центр,Петров,Порошок «Бытовой»,
2025-01,Север,Петров,Сода кальцинированная,12490
2025-01,Центр,Кладовщик,Глицерин технический,7500
2025-02,Центр,Петров,Глицерин технический,54854
2025-02,Север,Сидоров,Глицерин технический,47380
2025-02,Юг,Петров,Порошок «Бытовой»,31130
2025-03,Север,Иванов,Глицерин технический,54440
2025-03,Север,Иванов,Кислота лимонная,23042
2025-03,Центр,Петров,Глицерин технический,"22652,50"
2025-03,Центр,Кладовщик,Глицерин технический,7500
2025-04,Север,Сидоров,Глицерин технический,53338
2025-04,Север,Иванов,Сода кальцинированная,15270
2025-04,Север,Сидоров,Сода кальцинированная,10212
2025-04,Центр,Кладовщик,Глицерин технический,7500
2025-04,Север,Сидоров,Глицерин технический,53338
2025-05,Центр,Петров,Глицерин технический,54144
2025-05,Север,Сидоров,Глицерин технический,54095
2025-05,Юг,Сидоров,Сода кальцинированная,17764
2025-05,Центр,Кладовщик,Глицерин технический,7500
2025-06,Юг,Петров,Глицерин технический,54982
2025-06,Юг,Сидоров,Глицерин технический,46354
2025-06,Север,Сидоров,Мыло хозяйственное,15838
2025-07,Юг,Сидоров,Глицерин технический,"25658,50"
2025-07,Центр,Петров,Глицерин технический,49134
2025-07,Север,Петров,Мыло хозяйственное,
2025-08,Центр,Сидоров,Глицерин технический,53192
2025-08,Север,Иванов,Сода кальцинированная,15047
2025-08,Север,Сидоров,Глицерин технический,48639
2025-09,Центр,Петров,Глицерин технический,45712
2025-09,Юг,Иванов,Кислота лимонная,15362
2025-09,Центр,Иванов,Порошок «Бытовой»,22555
2025-09,Центр,Кладовщик,Глицерин технический,7500
2025-10,Центр,Петров,Глицерин технический,45603
2025-10,Юг,Петров,Сода кальцинированная,13639
2025-10,Центр,Сидоров,Глицерин технический,53421
2025-10,Центр,Кладовщик,Глицерин технический,7500
2025-11,Юг,Петров,Глицерин технический,48420
2025-11,Юг,Петров,Сода кальцинированная,15803
2025-11,Центр,Петров,Порошок «Бытовой»,25490
2025-11,Центр,Кладовщик,Глицерин технический,7500
2025-11,Центр,Петров,Порошок «Бытовой»,25490
2025-12,Юг,Сидоров,Глицерин технический,50966
2025-12,Север,Иванов,Порошок «Бытовой»,39887
2025-12,Север,Петров,Мыло хозяйственное,12941
2025-12,Центр,Кладовщик,Глицерин технический,7500
2025-12,Север,Иванов,Порошок «Бытовой»,39887
