время,датчик,линия,параметр,значение
2120-01-13 00:00,В1-АП,Аппаратная,вибрация,2.35
2120-01-13 00:00,П1-ПАР,Котельная,расход пара,44.81
2120-01-13 00:00,Р1-Л1,Линия 1,давление,2.97
2120-01-13 00:00,Р2-Л2,Линия 2,давление,2.51
2120-01-13 00:00,Т1-Л1,Линия 1,температура,85.9
2120-01-13 00:00,Т1-Л1,Линия 1,температура,85.9
2120-01-13 00:00,Т2-Л2,Линия 2,температура,89.77
2120-01-13 00:05,В1-АП,Аппаратная,вибрация,2.25
2120-01-13 00:05,П1-ПАР,Котельная,расход пара,55.88
2120-01-13 00:05,Р1-Л1,Линия 1,давление,4.55
2120-01-13 00:05,Р2-Л2,Линия 2,давление,1.18
2120-01-13 00:05,Т1-Л1,Линия 1,температура,91.6
2120-01-13 00:05,Т2-Л2,Линия 2,температура,82.73
2120-01-13 00:10,В1-АП,Аппаратная,вибрация,3.22
2120-01-13 00:10,П1-ПАР,Котельная,расход пара,25.95
2120-01-13 00:10,Р1-Л1,Линия 1,давление,2.96
2120-01-13 00:10,Р2-Л2,Линия 2,давление,3.16
2120-01-13 00:10,Т1-Л1,Линия 1,температура,83.74
2120-01-13 00:10,Т2-Л2,Линия 2,температура,84.51
2120-01-13 00:15,В1-АП,Аппаратная,вибрация,2.3
2120-01-13 00:15,П1-ПАР,Котельная,расход пара,58.14
2120-01-13 00:15,Р1-Л1,Линия 1,давление,3.64
2120-01-13 00:15,Р2-Л2,Линия 2,давление,2.53
2120-01-13 00:15,Т1-Л1,Линия 1,температура,86.26
2120-01-13 00:15,Т2-Л2,Линия 2,температура,85.24
2120-01-13 00:20,В1-АП,Аппаратная,вибрация,0.53
2120-01-13 00:20,П1-ПАР,Котельная,расход пара,33.27
2120-01-13 00:20,Р1-Л1,Линия 1,давление,2.48
2120-01-13 00:20,Р2-Л2,Линия 2,давление,2.61
2120-01-13 00:20,Т1-Л1,Линия 1,температура,
2120-01-13 00:20,Т2-Л2,Линия 2,температура,91.37
2120-01-13 00:25,В1-АП,Аппаратная,вибрация,0.28
2120-01-13 00:25,П1-ПАР,Котельная,расход пара,46.77
2120-01-13 00:25,Р1-Л1,Линия 1,давление,4.28
2120-01-13 00:25,Р2-Л2,Линия 2,давление,1.57
2120-01-13 00:25,Т1-Л1,Линия 1,температура,81.27
2120-01-13 00:25,Т2-Л2,Линия 2,температура,84.35
2120-01-13 00:30,В1-АП,Аппаратная,вибрация,1.73
2120-01-13 00:30,П1-ПАР,Котельная,расход пара,27.2
2120-01-13 00:30,Р1-Л1,Линия 1,давление,3.66
2120-01-13 00:30,Р2-Л2,Линия 2,давление,3.84
2120-01-13 00:30,Т1-Л1,Линия 1,температура,88.28
2120-01-13 00:30,Т2-Л2,Линия 2,температура,90.45
2120-01-13 00:35,В1-АП,Аппаратная,вибрация,2.39
2120-01-13 00:35,П1-ПАР,Котельная,расход пара,47.5
2120-01-13 00:35,Р1-Л1,Линия 1,давление,3.21
2120-01-13 00:35,Р2-Л2,Линия 2,давление,2.65
2120-01-13 00:35,Т1-Л1,Линия 1,температура,83.4
2120-01-13 00:35,Т1-Л1,Линия 1,температура,83.4
2120-01-13 00:35,Т2-Л2,Линия 2,температура,97.97
2120-01-13 00:40,В1-АП,Аппаратная,вибрация,1.7
2120-01-13 00:40,П1-ПАР,Котельная,расход пара,44.9
2120-01-13 00:40,Р1-Л1,Линия 1,давление,2.43
2120-01-13 00:40,Р2-Л2,Линия 2,давление,2.63
2120-01-13 00:40,Т1-Л1,Линия 1,температура,73.73
2120-01-13 00:40,Т2-Л2,Линия 2,температура,-150.0
2120-01-13 00:45,В1-АП,Аппаратная,вибрация,2.52
2120-01-13 00:45,П1-ПАР,Котельная,расход пара,35.64
2120-01-13 00:45,Р1-Л1,Линия 1,давление,3.05
2120-01-13 00:45,Р2-Л2,Линия 2,давление,3.23
2120-01-13 00:45,Т1-Л1,Линия 1,температура,90.31
2120-01-13 00:45,Т2-Л2,Линия 2,температура,87.91
2120-01-13 00:50,В1-АП,Аппаратная,вибрация,3.39
2120-01-13 00:50,П1-ПАР,Котельная,расход пара,33.25
2120-01-13 00:50,Р1-Л1,Линия 1,давление,2.78
2120-01-13 00:50,Р2-Л2,Линия 2,давление,2.87
2120-01-13 00:50,Т1-Л1,Линия 1,температура,89.49
2120-01-13 00:50,Т2-Л2,Линия 2,температура,86.43
2120-01-13 00:55,В1-АП,Аппаратная,вибрация,3.18
2120-01-13 00:55,П1-ПАР,Котельная,расход пара,21.76
2120-01-13 00:55,Р1-Л1,Линия 1,давление,2.42
2120-01-13 00:55,Р2-Л2,Линия 2,давление,2.82
2120-01-13 00:55,Т1-Л1,Линия 1,температура,82.07
2120-01-13 00:55,Т2-Л2,Линия 2,температура,90.55
2120-01-13 01:00,В1-АП,Аппаратная,вибрация,2.64
2120-01-13 01:00,П1-ПАР,Котельная,расход пара,42.59
2120-01-13 01:00,Р1-Л1,Линия 1,давление,4.23
2120-01-13 01:00,Р2-Л2,Линия 2,давление,3.07
2120-01-13 01:00,Т1-Л1,Линия 1,температура,84.72
2120-01-13 01:00,Т2-Л2,Линия 2,температура,84.25
2120-01-13 01:05,В1-АП,Аппаратная,вибрация,3.63
2120-01-13 01:05,П1-ПАР,Котельная,расход пара,53.74
2120-01-13 01:05,Р1-Л1,Линия 1,давление,
2120-01-13 01:05,Р2-Л2,Линия 2,давление,2.78
2120-01-13 01:05,Т1-Л1,Линия 1,температура,78.13
2120-01-13 01:05,Т2-Л2,Линия 2,температура,90.0
2120-01-13 01:10,В1-АП,Аппаратная,вибрация,1.98
2120-01-13 01:10,П1-ПАР,Котельная,расход пара,36.38
2120-01-13 01:10,Р1-Л1,Линия 1,давление,3.14
2120-01-13 01:10,Р2-Л2,Линия 2,давление,2.14
2120-01-13 01:10,Т1-Л1,Линия 1,температура,78.94
2120-01-13 01:10,Т2-Л2,Линия 2,температура,86.7
2120-01-13 01:15,В1-АП,Аппаратная,вибрация,1.66
2120-01-13 01:15,П1-ПАР,Котельная,расход пара,"22,5"
2120-01-13 01:15,Р1-Л1,Линия 1,давление,2.57
2120-01-13 01:15,Р2-Л2,Линия 2,давление,3.43
