Время,Датчик,Показатель,Значение,Единица
00:00,T1-Л1,температура,55.3,°C
00:00,P1-Л1,давление,2.5,атм
00:00,V1-Л2,вибрация,2.8,мм/с
00:10,T1-Л1,температура,37.3,°C
00:10,P1-Л1,давление,3.1,атм
00:10,V1-Л2,вибрация,1.8,мм/с
00:20,T1-Л1,температура,50.5,°C
00:20,P1-Л1,давление,4.5,атм
00:20,V1-Л2,вибрация,4.2,мм/с
00:30,T1-Л1,температура,38.5,°C
00:30,P1-Л1,давление,3.6,атм
00:30,V1-Л2,вибрация,2.0,мм/с
00:40,T1-Л1,температура,51.2,°C
00:40,P1-Л1,давление,4.0,атм
00:40,V1-Л2,вибрация,2.7,мм/с
00:50,T1-Л1,температура,60.8,°C
00:50,P1-Л1,давление,5.4,атм
00:50,V1-Л2,вибрация,2.9,мм/с
01:00,T1-Л1,температура,40.2,°C
01:00,P1-Л1,давление,4.5,атм
01:00,V1-Л2,вибрация,1.7,мм/с
01:10,T1-Л1,температура,48.7,°C
01:10,P1-Л1,давление,4.7,атм
01:10,V1-Л2,вибрация,2.5,мм/с
01:20,T1-Л1,температура,35.9,°C
01:20,P1-Л1,давление,2.8,атм
01:20,V1-Л2,вибрация,1.7,мм/с
01:30,T1-Л1,температура,-200,°C
01:30,P1-Л1,давление,,атм
01:30,V1-Л2,вибрация,0.7,мм/с
01:40,T1-Л1,температура,32.8,°C
01:40,P1-Л1,давление,3.3,атм
01:40,V1-Л2,вибрация,0.5,мм/с
01:50,T1-Л1,температура,53.1,°C
01:50,P1-Л1,давление,3.2,атм
01:50,V1-Л2,вибрация,0.8,мм/с
02:00,T1-Л1,температура,49.3,°C
02:00,P1-Л1,давление,2.6,атм
02:00,V1-Л2,вибрация,2.2,мм/с
02:10,T1-Л1,температура,65.4,°C
02:10,P1-Л1,давление,3.0,атм
02:10,V1-Л2,вибрация,3.3,мм/с
02:20,T1-Л1,температура,39.9,°C
02:20,P1-Л1,давление,3.4,атм
02:20,V1-Л2,вибрация,1.9,мм/с
02:30,T1-Л1,температура,61.3,°C
02:30,P1-Л1,давление,3.3,атм
02:30,V1-Л2,вибрация,4.0,мм/с
02:40,T1-Л1,температура,74.9,°C
02:40,P1-Л1,давление,2.9,атм
02:40,V1-Л2,вибрация,1.2,мм/с
02:50,T1-Л1,температура,61.8,°C
02:50,P1-Л1,давление,3.7,атм
02:50,V1-Л2,вибрация,2.0,мм/с
03:00,T1-Л1,температура,61.1,°C
03:00,P1-Л1,давление,4.4,атм
03:00,V1-Л2,вибрация,1.1,мм/с
03:10,T1-Л1,температура,45.3,°C
03:10,P1-Л1,давление,4.0,атм
03:10,V1-Л2,вибрация,2.1,мм/с
03:20,T1-Л1,температура,49.7,°C
03:20,P1-Л1,давление,3.3,атм
03:20,V1-Л2,вибрация,3.5,мм/с
03:30,T1-Л1,температура,53.4,°C
03:30,P1-Л1,давление,4.8,атм
03:30,V1-Л2,вибрация,,мм/с
03:40,T1-Л1,температура,,°C
03:40,P1-Л1,давление,2.3,атм
03:40,V1-Л2,вибрация,3.9,мм/с
03:50,T1-Л1,температура,72.6,°C
03:50,P1-Л1,давление,2.5,атм
03:50,V1-Л2,вибрация,2.0,мм/с
