Время,Тип,Регион,Сумма
2026-08-13 08:00,Гель,Столица,1679.22
2026-08-13 08:07,Концентрат,Столица,3115.69
2026-08-13 08:14,Порошок,Столица,719.6
2026-08-13 08:21,Растворитель,Юг,3557.81
2026-08-13 08:28,Порошок,Столица,1218.86
2026-08-13 08:35,Порошок,Север,253.07
2026-08-13 08:42,Концентрат,Урал,999.44
2026-08-13 08:49,Растворитель,Север,2601.22
2026-08-13 08:56,Гель,Юг,251.11
2026-08-13 09:03,Гель,Юг,674.97
2026-08-13 09:10,Порошок,Столица,3056.5
2026-08-13 09:17,Порошок,Урал,1787.1
2026-08-13 09:24,Порошок,Столица,732.82
2026-08-13 09:31,Концентрат,Столица,3640.11
2026-08-13 09:38,Концентрат,Юг,4406.88
2026-08-13 09:45,Растворитель,Юг,981.65
2026-08-13 09:52,Гель,Юг,1171.91
2026-08-13 09:59,Порошок,Север,1871.33
2026-08-13 10:06,Растворитель,Север,2187.23
2026-08-13 10:13,Растворитель,Север,3149.76
2026-08-13 10:20,Гель,Столица,634.35
2026-08-13 10:27,Гель,Урал,1665.04
2026-08-13 10:34,Гель,Столица,1028.93
2026-08-13 10:41,Концентрат,Север,3821.69
2026-08-13 10:48,Порошок,Урал,2866.03
2026-08-13 10:55,Порошок,Столица,3401.64
2026-08-13 11:02,Порошок,Урал,3221.2
2026-08-13 11:09,Концентрат,Столица,145.38
2026-08-13 11:16,Концентрат,Север,1428.43
2026-08-13 11:23,Концентрат,Урал,1651.95
2026-08-13 11:30,Концентрат,Север,308.22
2026-08-13 11:37,Растворитель,Юг,349.57
2026-08-13 11:44,Растворитель,Юг,1781.68
2026-08-13 11:51,Порошок,Столица,2497.01
2026-08-13 11:58,Растворитель,Север,"2,924.00"
2026-08-13 12:05,Порошок,Урал,247.2
2026-08-13 12:12,Гель,Юг,4319.42
2026-08-13 12:19,Порошок,Север,4535.02
2026-08-13 12:26,Гель,Столица,4629.87
2026-08-13 12:33,Растворитель,Юг,4601.32
2026-08-13 12:40,Растворитель,Юг,1879.27
2026-08-13 12:47,Растворитель,Юг,1530.79
2026-08-13 12:54,Растворитель,Урал,1785.07
2026-08-13 13:01,Растворитель,Юг,2366.38
2026-08-13 13:08,Растворитель,Урал,2049.3
2026-08-13 13:15,Растворитель,Урал,3204.61
2026-08-13 13:22,Растворитель,Столица,3087.75
2026-08-13 13:29,Порошок,Юг,2959.5
